iter	Passed	Remaining
0	1726	1724849
1	3242	1618232	2	4616	1534313	3	5849	1456514	4	7014	1395965	5	8246	1366196	6	9817	1392747	7	12947	1605508	8	15106	1663369	9	17770	1759271010	20054	1803071111	22374	1842201212	24452	1856471313	26627	1875351414	29162	1914971515	31351	1928091616	33113	1914761717	34910	1904571818	36464	1882701919	38263	1874922020	40004	1864982121	41612	1849862222	43242	1836862323	44660	1816172424	46401	1809672525	47837	1792062626	49462	1782462727	50983	1769842828	52475	1757022929	53918	1743353030	55322	1729263131	56787	1717803232	58578	1716533333	59852	1700513434	61556	1697203535	63096	1689583636	64761	1685543737	66267	1677603838	67726	1668853939	69049	1657184040	70607	1651524141	72539	1654604242	74028	1647564343	75407	1638404444	76864	1631234545	78672	1631604646	80430	1630844747	81872	1623814848	83455	1619714949	85376	1622145050	87836	1634445151	90504	1649965252	93117	1663825353	95248	1668615454	97381	1673195555	98865	1666585656	100763	1667015757	102728	1668455858	104626	1668695959	107103	1677956060	109377	1683706161	111198	1682326262	112834	1678186363	114800	1678956464	117122	1684756565	119217	1687106666	121292	1689046767	123429	1691706868	126021	1700386969	129484	1720297070	131907	1725957171	133777	1724247272	135082	1715357373	136202	1704377474	137340	1693867575	138459	1683377676	139766	1675377777	140970	1666337878	142298	1658947979	143556	1650898880	144798	1642838881	145814	1632408882	146994	1624028883	148073	1614708884	149277	1606938885	150666	1601268886	151900	1594081887	153133	1587028888	154856	1585108889	156149	1578849990	157415	1572429991	158585	1565179992	159784	1558329993	161323	1554884994	163326	1555903
95	164766	1551555
96	166234	1547525997	167384	1540622998	168660	1534979999	169871	15288411100	171209	15239311101	172527	15189111102	174077	15159911103	175291	15102011104	176805	15070581105	178344	15041471106	179914	15015311107	181635	15001741108	183134	14969951109	184446	14923401110	185766	14878051111	186945	14822081112	188385	14787441113	189627	14737701114	191045	14702211115	192173	14644941116	193499	14603391117	194648	14549151118	195899	14503171119	197106	14454511120	198905	14449401121	201474	14499581122	203478	14508141123	205833	14541161124	207873	14551111125	209488	1453119
126	210756	1448745
127	212315	1446401
128	214460	1448027
129	216186	1446783
130	217984	1446017
131	219798	1445340
132	221247	1442265
133	222989	1441108
134	224682	1439629
135	226134	1436616
136	227763	1434746
137	229692	1434743
138	231958	1436809
139	234394	1439852
140	237248	1445367
141	239487	1447042
142	242082	1450800
143	243868	1449664
144	245766	1449173
145	247253	1446265
146	248732	1443325
147	250344	1441172
148	251661	1437340
149	253269	1435192
150	254677	1431928
151	256316	1429977
152	258629	1431757
153	260590	1431555
